n,generator_scope,init_scheme,n_tracked_params,n_samples,mean,var,std,median,abs_mean,rms,sigma,bin_spacing
2,weight1,small_angle,2,200,-0.010025830064521912,0.05106276001353731,0.22597070609602765,-0.021465859525821,0.19682509796546063,0.22619300891499713,0.03,1.2000000000000002
3,weight1,small_angle,3,300,0.01073468233417838,0.06203967079331272,0.24907764009102207,0.016710311788543014,0.21819856279627198,0.24930885302798303,0.03,0.4000000000000001
4,weight1,small_angle,3,300,-0.003418196301103181,0.05260203764196191,0.22935134105115215,-0.016207848984224976,0.198222903993237,0.22937681161772824,0.03,0.4000000000000001
5,weight1,small_angle,3,300,0.0028860745060162387,0.05156615845536237,0.22708183206800664,-0.005321908179883905,0.19787056689800628,0.22710017146936864,0.03,0.17142857142857146
6,weight1,small_angle,3,300,0.01257725941707772,0.053137377841437114,0.23051546117654909,0.02672150378499915,0.20259472274190746,0.23085832299460549,0.03,0.17142857142857146
2,weight1,uniform,2,200,-0.02665865250627933,0.30432212307884604,0.551653988546123,0.016697167997903908,0.48622968440147446,0.5522977519710691,0.03,1.2000000000000002
3,weight1,uniform,3,300,0.056491676084622015,0.1983600505465216,0.4453763021833577,0.08328959143394088,0.38148416280032743,0.4489447182152514,0.03,0.4000000000000001
4,weight1,uniform,3,300,0.015912793279386245,0.11774470605491724,0.3431394848380426,0.015784630028068396,0.273987670354073,0.3435082576079791,0.03,0.4000000000000001
5,weight1,uniform,3,300,-0.023219115710527642,0.06384687477994218,0.2526793912845727,-0.03770048314358579,0.20292351553295498,0.2537439696117349,0.03,0.17142857142857146
6,weight1,uniform,3,300,0.006895384199148714,0.03590980785676655,0.18949883339157145,0.011973019746574973,0.14959973123543538,0.1896242447052075,0.03,0.17142857142857146
2,weight1,small_angle,2,200,-0.010025830064521912,0.05106276001353731,0.22597070609602765,-0.021465859525821,0.19682509796546063,0.22619300891499713,0.1,1.2000000000000002
3,weight1,small_angle,3,300,0.010732309357179858,0.062028456141609234,0.24905512671215832,0.016710439588737615,0.21817936558333736,0.24928625835722965,0.1,0.4000000000000001
4,weight1,small_angle,3,300,-0.0034175616165117158,0.05259428186110077,0.22933443234957276,-0.01620844665721538,0.1982080779341631,0.22935989533591836,0.1,0.4000000000000001
5,weight1,small_angle,3,300,0.002472992935130153,0.04581357502903334,0.21404105921302422,-0.0050714871683326685,0.18530033980586227,0.21405534500005025,0.1,0.17142857142857146
6,weight1,small_angle,3,300,0.011552552700609897,0.04015669227999345,0.20039134781719856,0.0206428716675543,0.17443848206757223,0.2007240736780066,0.1,0.17142857142857146
2,weight1,uniform,2,200,-0.02665865250627933,0.30432212307884604,0.551653988546123,0.016697167997903908,0.48622968440147446,0.5522977519710691,0.1,1.2000000000000002
3,weight1,uniform,3,300,0.05648745635206433,0.19833189973756216,0.44534469766413765,0.08329098044288974,0.38146380047647116,0.4489128339251269,0.1,0.4000000000000001
4,weight1,uniform,3,300,0.015915606514835964,0.11775238276649636,0.3431506706484724,0.01576270032904107,0.2740042018425072,0.3435195617388207,0.1,0.4000000000000001
5,weight1,uniform,3,300,-0.024232899035436333,0.06143181651612352,0.24785442605715863,-0.0317907750541043,0.19726411094162652,0.24903624216524223,0.1,0.17142857142857146
6,weight1,uniform,3,300,0.0036396004325111577,0.031060208595545546,0.17623906659859936,0.005430770395454167,0.1394202804162914,0.17627664418990363,0.1,0.17142857142857146
2,weight1,small_angle,2,200,-0.010022438867874059,0.05102820740330347,0.22589423942036121,-0.02145868316397294,0.19675852378578476,0.22611646707872415,0.3,1.2000000000000002
3,weight1,small_angle,3,300,0.007823674634686193,0.04932621090831591,0.22209504926565993,0.014669725039820737,0.19218192461450892,0.22223280764348308,0.3,0.4000000000000001
4,weight1,small_angle,3,300,-0.0026393905567580907,0.04408505927672459,0.20996442383585984,-0.01620078441665093,0.17803187994494302,0.20998101261598798,0.3,0.4000000000000001
5,weight1,small_angle,3,300,0.0012539058808856021,0.026574276712186526,0.16301618543011773,-0.0035804760933369787,0.1258185851200498,0.1630210078245888,0.3,0.17142857142857146
6,weight1,small_angle,3,300,0.008860722455575232,0.022981018635244082,0.1515949162579144,0.0057589713978563,0.10359888677355412,0.15185365006373344,0.3,0.17142857142857146
2,weight1,uniform,2,200,-0.026648020048130414,0.3041756548334022,0.5515212188423961,0.016698820507096746,0.48612297843378927,0.5521646238268871,0.3,1.2000000000000002
3,weight1,uniform,3,300,0.050522862513250576,0.17826209101560594,0.4222109555845347,0.08173255171370472,0.357713952195911,0.4252230598781524,0.3,0.4000000000000001
4,weight1,uniform,3,300,0.0184239030569696,0.13500804921510298,0.36743441484855904,0.016392528289181738,0.2944421461021903,0.3678960307192177,0.3,0.4000000000000001
5,weight1,uniform,3,300,-0.019554364495277577,0.063692267623238,0.252373270421489,-0.006183494014270483,0.1798644744767104,0.25312969164847526,0.3,0.17142857142857146
6,weight1,uniform,3,300,-0.0038155599374645375,0.05036731089883702,0.22442662698271124,-0.0027530506314844046,0.14178837846552217,0.2244590595108012,0.3,0.17142857142857146
2,weight1,small_angle,2,200,-0.0051249461209697785,0.013337182280540545,0.11548671906561614,-0.01103565383390578,0.10061275322787441,0.11560037782500274,1.0,1.2000000000000002
3,weight1,small_angle,3,300,0.0026139038966515303,0.007336204399382691,0.08565164563149205,0.00401885349196388,0.07045450777806057,0.08569152170993127,1.0,0.4000000000000001
4,weight1,small_angle,3,300,-0.0008012222410832759,0.00501407415501888,0.07081012748907377,-0.004804903474135452,0.0584602784368275,0.07081466029077939,1.0,0.4000000000000001
5,weight1,small_angle,3,300,0.00038099449027599987,0.0023380840150499203,0.048353738377191896,-0.0011147473132131738,0.03713796936764085,0.04835523934230438,1.0,0.17142857142857146
6,weight1,small_angle,3,300,0.0027169028731190105,0.002172577739890351,0.046610918676747305,0.001920073206338357,0.03248268125481535,0.0466900342804791,1.0,0.17142857142857146
