n,generator_scope,init_scheme,n_tracked_params,n_samples,mean,var,std,median,abs_mean,rms
2,mixed,small_angle,2,200,0.12354294937103986,0.0002036356368288902,0.014270095894172899,0.12417974323034286,0.12354294937103986,0.12436436779127778
3,mixed,small_angle,3,300,0.1292154585415968,0.008735770004894972,0.09346534119605499,0.1783609315752983,0.13507131608640824,0.1594754047839669
4,mixed,small_angle,4,400,0.07519232526436098,0.005872396079932712,0.07663156059961661,0.07819639705121517,0.08354092620123993,0.10736052281259705
5,mixed,small_angle,5,500,0.05522579304681858,0.0048690370949602485,0.06977848590332301,0.020707090385258198,0.06495359910704428,0.08898834368955455
6,mixed,small_angle,6,600,0.043941843852311424,0.00398174775651836,0.06310109156360419,0.015145889949053526,0.05336114978455384,0.07689364991765757
7,mixed,small_angle,7,700,0.03647274772038924,0.003566911244245085,0.05972362383718092,0.007437620311975479,0.045453168637063106,0.06997980116090817
2,mixed,uniform,2,200,0.00039867085753940044,0.012096143777272993,0.10998247031810567,8.311285637319088e-05,0.08081259260769003,0.1099831928783923
3,mixed,uniform,3,300,-0.005464472850047362,0.01452051442590489,0.12050109719792965,-0.002515883417800069,0.09072766763682011,0.12062493477483748
4,mixed,uniform,4,400,0.0004289714017068036,0.006808825926287691,0.08251561019763286,-0.001153942255768925,0.06353911608675844,0.08251672523041115
5,mixed,uniform,5,500,-0.003853183999657631,0.0039606345649046875,0.0629335726373824,-0.0007716196414548904,0.047063775128452105,0.06305142022064138
6,mixed,uniform,6,600,-0.003158111793503243,0.002666769415847957,0.05164077280451908,-7.4964482337236404e-06,0.039566346397671925,0.051737250467610095
7,mixed,uniform,7,700,-0.001638477929232717,0.0019813421320239023,0.04451226945488067,-0.00026115319633390754,0.031227265935038825,0.044542415088862045
