n,generator_scope,init_scheme,n_tracked_params,n_samples,mean,var,std,median,abs_mean,rms
2,weight1,small_angle,2,200,-0.010025830064521912,0.05106276001353731,0.22597070609602765,-0.021465859525821,0.19682509796546063,0.22619300891499713
3,weight1,small_angle,3,300,0.010732309357179858,0.062028456141609234,0.24905512671215832,0.016710439588737615,0.21817936558333736,0.24928625835722965
4,weight1,small_angle,3,300,-0.0034175616165117158,0.05259428186110077,0.22933443234957276,-0.01620844665721538,0.1982080779341631,0.22935989533591836
5,weight1,small_angle,3,300,0.002472992935130153,0.04581357502903334,0.21404105921302422,-0.0050714871683326685,0.18530033980586227,0.21405534500005025
6,weight1,small_angle,3,300,0.011552552700609897,0.04015669227999345,0.20039134781719856,0.0206428716675543,0.17443848206757223,0.2007240736780066
2,weight1,uniform,2,200,-0.02665865250627933,0.30432212307884604,0.551653988546123,0.016697167997903908,0.48622968440147446,0.5522977519710691
3,weight1,uniform,3,300,0.05648745635206433,0.19833189973756216,0.44534469766413765,0.08329098044288974,0.38146380047647116,0.4489128339251269
4,weight1,uniform,3,300,0.015915606514835964,0.11775238276649636,0.3431506706484724,0.01576270032904107,0.2740042018425072,0.3435195617388207
5,weight1,uniform,3,300,-0.024232899035436333,0.06143181651612352,0.24785442605715863,-0.0317907750541043,0.19726411094162652,0.24903624216524223
6,weight1,uniform,3,300,0.0036396004325111577,0.031060208595545546,0.17623906659859936,0.005430770395454167,0.1394202804162914,0.17627664418990363
