generator_scope,n,eta,alpha_mean_polarization,alpha_mean_merlin_dual_rail,alpha_mean_abs_delta,alpha_std_polarization,alpha_std_merlin_dual_rail,alpha_std_abs_delta,herald_failure_prob_mean_polarization,herald_failure_prob_mean_merlin_dual_rail,herald_failure_prob_mean_abs_delta,herald_failure_prob_std_polarization,herald_failure_prob_std_merlin_dual_rail,herald_failure_prob_std_abs_delta,herald_success_rate_mean_polarization,herald_success_rate_mean_merlin_dual_rail,herald_success_rate_mean_abs_delta,n_draws_polarization,n_draws_merlin_dual_rail,n_draws_abs_delta,tvd_to_lossless_mean_polarization,tvd_to_lossless_mean_merlin_dual_rail,tvd_to_lossless_mean_abs_delta,tvd_to_lossless_std_polarization,tvd_to_lossless_std_merlin_dual_rail,tvd_to_lossless_std_abs_delta,tvd_to_product_marginals_mean_polarization,tvd_to_product_marginals_mean_merlin_dual_rail,tvd_to_product_marginals_mean_abs_delta,tvd_to_product_marginals_std_polarization,tvd_to_product_marginals_std_merlin_dual_rail,tvd_to_product_marginals_std_abs_delta,tvd_to_uniform_mean_polarization,tvd_to_uniform_mean_merlin_dual_rail,tvd_to_uniform_mean_abs_delta,tvd_to_uniform_std_polarization,tvd_to_uniform_std_merlin_dual_rail,tvd_to_uniform_std_abs_delta
weight1,2,0.99,2.7783751392119753,2.005990870532376,0.7723842686795992,0.5867107339750657,0.4299580866750196,0.15675264730004607,,,,,,,,,,5,5,0,0.00995,0.009950005634891568,5.634891567241063e-09,8.743419338566625e-17,7.429254399028266e-09,7.429254311594073e-09,0.009949999999999995,0.009950128170021338,1.2817002134277167e-07,7.016093334065796e-17,3.692690509849695e-08,3.692690502833602e-08,0.5725799456558496,0.44683904943085506,0.12574089622499451,0.09684150075073909,0.0969398531369217,9.835238618260966e-05
weight1,2,0.95,2.3558331412731697,1.7009148778355538,0.6549182634376158,0.4974823492810237,0.3645689413454529,0.13291340793557077,,,,,,,,,,5,5,0,0.048750000000000106,0.048749999291612764,7.08387341841199e-10,4.757065991401635e-17,1.1055649975911944e-08,1.1055649928341283e-08,0.0487500000000001,0.048750121826742536,1.2182674243715885e-07,3.7751664318895324e-17,2.7631628442781503e-08,2.763162840502984e-08,0.5407468659170869,0.41541907929859007,0.1253277866184968,0.09531391814741044,0.09238365202348839,0.002930266123922054
weight1,2,0.9,1.89766760413358,1.3701188259270358,0.5275487782065442,0.400731325712086,0.2936671302895032,0.10706419542258278,,,,,,,,,,5,5,0,0.09500000000000006,0.09499997109487594,2.8905124113687286e-08,4.8074067159589095e-17,1.2162620305014818e-08,1.216262025694075e-08,0.09500000000000006,0.09500009363000572,9.363000566531277e-08,4.022165030534275e-17,2.841823164175598e-08,2.841823160153433e-08,0.5078470289029606,0.38303974812333763,0.124807280779623,0.08899600351865372,0.08970642079540642,0.0007104172767526951
weight1,2,0.8,1.184704542986,0.8553583618510725,0.3293461811349274,0.2501745938297066,0.18333493979094517,0.06683965403876141,,,,,,,,,,5,5,0,0.18,0.17999996501894203,3.4981057966954054e-08,3.7238012298709096e-17,1.5448417931618413e-08,1.54484178943804e-08,0.18,0.1800000875540718,8.755407179816821e-08,3.284083995358298e-17,2.2184687992852097e-08,2.2184687960011257e-08,0.4537309857998701,0.33434890204152906,0.11938208375834103,0.07031782994066471,0.08100833209215855,0.010690502151493836
weight1,2,0.6,0.37484792180416454,0.2706407709632422,0.10420715084092236,0.07915680507893068,0.05800833411554631,0.021148470963384368,,,,,,,,,,5,5,0,0.31999999999999995,0.3199999146736445,8.532635542568556e-08,6.080941944488117e-17,2.4597643441259092e-08,2.4597643380449674e-08,0.3199999999999999,0.3200000372087743,3.720877439494785e-08,0.0,1.325098022439341e-08,1.325098022439341e-08,0.3648652443596176,0.32721032764075064,0.03765491671886695,0.03924663347245288,0.01073864118396178,0.0285079922884911
weight1,2,0.35,0.04340325329146408,0.03133721340806499,0.01206603988339909,0.009165484615861917,0.0067167234984233815,0.0024487611174385353,,,,,,,,,,5,5,0,0.43875000000000003,0.438749891604175,1.0839582503807677e-07,6.568167990716596e-17,3.3367451805054866e-08,3.3367451739373185e-08,0.4387499999999999,0.43875001413930476,1.4139304838067801e-08,6.568167990716596e-17,4.0327030162087746e-09,4.0327029505270944e-09,0.4387499999999999,0.43875001413930476,1.4139304838067801e-08,5.551115123125783e-17,4.0327030162087746e-09,4.032702960697623e-09
weight1,2,0.05,1.8077156722808884e-05,1.3051732816331062e-05,5.025423906477822e-06,3.817361356044113e-06,2.7974691740561702e-06,1.0198921819879425e-06,,,,,,,,,,5,5,0,0.49874999999999997,0.4987498778068783,1.221931216766059e-07,6.080941944488117e-17,3.722374602682305e-08,3.7223745966013625e-08,0.49874999999999997,0.4987500003420081,3.420081440275169e-10,4.2998752849492583e-17,8.66589374900293e-11,8.665889449127646e-11,0.49874999999999997,0.4987500003420081,3.420081440275169e-10,4.965068306494546e-17,8.66589374900293e-11,8.665888783934624e-11
weight1,3,0.99,2.4474207496181477,2.406719737455541,0.0407010121626068,0.7772521800555506,0.6157893728508327,0.16146280720471795,,,,,,,,,,5,5,0,0.014850499999999984,0.014850495097925886,4.9020740973404475e-09,3.939770506710496e-17,7.1179282832520286e-09,7.117928243854323e-09,0.014850499999999966,0.014850619132630541,1.1913263057473922e-07,4.9468522674393986e-17,7.01534609386907e-08,7.015346088922217e-08,0.48995182888726585,0.4734646227909252,0.016487206096340634,0.13076270476906465,0.09150695737091893,0.03925574739814572
weight1,3,0.95,1.910905022412092,1.8791264798219227,0.03177854259016932,0.6068654499969542,0.4807980772388781,0.12606737275807617,,,,,,,,,,5,5,0,0.07131250000000014,0.07131246935459785,3.0645402285256473e-08,9.432813123914324e-17,1.1794308530390828e-08,1.1794308436062696e-08,0.07131250000000013,0.0713125933893025,9.338930237468013e-08,8.418682910850739e-17,6.245902367153101e-08,6.245902358734418e-08,0.4519526440770784,0.4474576790817082,0.004494964995370221,0.11860991546026574,0.08085732692965486,0.03775258853061088
weight1,3,0.9,1.3815052090321174,1.3585304457232987,0.022974763308818646,0.438738592718823,0.3475970565497574,0.09114153616906556,,,,,,,,,,5,5,0,0.13550000000000004,0.13549998123198748,1.8768012560732572e-08,9.852251986074894e-17,2.0779172948492028e-08,2.0779172849969507e-08,0.1355,0.13550010526669212,1.0526669211308182e-07,7.130536482749599e-17,5.345727185965466e-08,5.34572717883493e-08,0.4108678252807077,0.4190573027182836,0.00818947743757592,0.10349055145181134,0.0693217609914067,0.034168790460404636
weight1,3,0.8,0.6814553290327909,0.6701226981286746,0.011332630904116292,0.21641666647790292,0.17145930325755993,0.044957363220342994,,,,,,,,,,5,5,0,0.24400000000000005,0.2439999249530956,7.504690444082307e-08,9.121412916732177e-17,3.786385032440514e-08,3.7863850233191015e-08,0.244,0.24400004898780026,4.8987800260746894e-08,5.822058658345462e-17,3.5885445480064194e-08,3.588544542184361e-08,0.35862280347599135,0.376176057808334,0.01755325433234267,0.08111017339401927,0.054498776916609336,0.026611396477409933
weight1,3,0.6,0.12128440792600229,0.11926743523690841,0.002016972689093871,0.03851751705624789,0.03051606652969186,0.008001450526556028,,,,,,,,,,5,5,0,0.3919999999999999,0.3919998996105278,1.003894721240961e-07,6.568167990716596e-17,5.791040400035841e-08,5.791040393467673e-08,0.3919999999999999,0.39200002364523245,2.3645232549718287e-08,2.482534153247273e-17,1.5725345535112986e-08,1.5725345510287645e-08,0.3940367593282895,0.39335479549772573,0.0006819638305637921,0.004073518656579255,0.002709536389774545,0.0013639822668047104
weight1,3,0.35,0.004778655648552116,0.004699185860100645,7.94697884514712e-05,0.0015176060434853326,0.0012023455320506818,0.00031526051143465086,,,,,,,,,,5,5,0,0.47856249999999995,0.4785623812869744,1.1871302552091123e-07,7.850462293418876e-17,7.054171032068602e-08,7.054171024218139e-08,0.47856249999999995,0.47856250532167904,5.321679097392007e-09,4.965068306494546e-17,3.061689695654783e-09,3.0616896460041e-09,0.47856249999999995,0.47856250532167904,5.321679097392007e-09,5.551115123125783e-17,3.061689679127899e-09,3.061689623616748e-09
weight1,3,0.05,4.0617902817296594e-08,3.9942425377885976e-08,6.754774394106177e-10,1.2899438528889618e-08,1.0219770864102836e-08,2.679667664786782e-09,,,,,,,,,,5,5,0,0.49993750000000003,0.4999373759772553,1.2402274474077046e-07,5.551115123125783e-17,7.359097324606467e-08,7.359097319055352e-08,0.4999375,0.4999375000119599,1.195993304392573e-11,3.510833468576701e-17,8.761111453448727e-12,8.761076345114041e-12,0.4999375,0.4999375000119599,1.195993304392573e-11,0.0,8.761095083909832e-12,8.761095083909832e-12
