n,generator_scope,eta,n_draws,tvd_to_lossless_mean,tvd_to_lossless_std,tvd_to_uniform_mean,tvd_to_uniform_std,tvd_to_product_marginals_mean,tvd_to_product_marginals_std,alpha_mean,alpha_std,herald_failure_prob_mean,herald_failure_prob_std,herald_success_rate_mean
2,mixed,0.99,5,0.01965300921387555,3.024867523643233e-15,0.1090988898660131,0.08816034331581254,0.1090988898660131,0.08816034331581254,1.001424280149278,0.11378760002009154,0.9259334800000009,5.528866075183428e-16,0.07406651999999914
2,mixed,0.95,5,0.09162895927601553,1.6825236719451855e-15,0.12019133748601607,0.057124756420005085,0.12019133748601607,0.057124756420005085,0.7237987721572922,0.08224218926365429,0.9261287037037045,7.021666937153402e-17,0.07387129629629552
2,mixed,0.9,5,0.1680327868852444,2.8918059915777422e-15,0.17254189784011592,0.00901822190974593,0.17254189784011592,0.00901822190974593,0.47829776702626514,0.054346949723218956,0.9268000000000007,6.221212756561689e-16,0.07319999999999927
2,mixed,0.8,5,0.2837837837837866,1.2420116135754933e-15,0.2837837837837847,1.2412670766236366e-15,0.2837837837837847,1.2412670766236366e-15,0.20290114326218048,0.02305479764250787,0.9298370370370368,3.9720546451956367e-16,0.0701629629629632
2,mixed,0.6,5,0.41509433962264275,2.0468490329827007e-15,0.4150943396226408,7.426885862005046e-16,0.4150943396226408,7.426885862005046e-16,0.03128824881408039,0.0035551512100890793,0.9434666666666672,4.940180589338315e-16,0.05653333333333277
2,mixed,0.35,5,0.48052464228935043,1.5592607100143473e-15,0.4805246422893486,3.805652793121308e-16,0.4805246422893486,3.805652793121308e-16,0.0016461858137316258,0.00018704912257941605,0.9714620370370366,5.087681048627601e-16,0.028537962962963404
2,mixed,0.05,5,0.4997343251859744,1.5792898135488767e-15,0.49973432518597233,4.965068306494546e-17,0.49973432518597233,4.965068306494546e-17,3.0634354856233483e-07,3.480852008838272e-08,0.9991287037037037,1.1102230246251565e-16,0.0008712962962963422
3,mixed,0.99,5,0.02445647912174077,6.371742616385919e-15,0.47496810591637245,0.06155432528045367,0.21255531753525642,0.10935958395070156,2.047394628360922,0.3726408286239167,0.92593348,7.074133422190872e-16,0.07406652000000002
3,mixed,0.95,5,0.11204751131221014,1.3603063958414869e-15,0.4151117718975067,0.063065519314962,0.19002495142972542,0.06722076577559642,1.3626305012881037,0.2480087385570044,0.926128703703705,3.6821932062951477e-16,0.07387129629629496
3,mixed,0.9,5,0.2012295081967231,4.060575259724662e-15,0.36058297321309907,0.06672755678595338,0.2042190657493242,0.005979115105204849,0.8081582776676317,0.14709072988551328,0.9267999999999995,8.308148362110449e-16,0.07320000000000049
3,mixed,0.8,5,0.32702702702702496,3.5594726709090065e-15,0.3379727903958574,0.01696074142273132,0.32702702702702535,3.3018637508515194e-15,0.27088036220884754,0.049302211324186974,0.9298370370370378,1.2629244406312412e-15,0.0701629629629622
3,mixed,0.6,5,0.4490566037735836,2.7774442994318376e-15,0.449056603773584,1.290679032407819e-15,0.449056603773584,1.2777215249255888e-15,0.023496155664270962,0.004276472544631582,0.9434666666666678,1.3669726658723911e-15,0.056533333333332214
3,mixed,0.35,5,0.4931836248012715,1.5919220012370269e-15,0.49318362480127187,2.507236594037335e-16,0.49318362480127187,2.6272671962866383e-16,0.00042065688048772325,7.656263542937828e-05,0.9714620370370369,1.0532500405730103e-15,0.02853796296296307
3,mixed,0.05,5,0.49998671625929825,1.8050942682065393e-15,0.49998671625929864,2.482534153247273e-17,0.49998671625929864,2.482534153247273e-17,1.5975770049847641e-09,2.9077072425577396e-10,0.9991287037037029,5.183683495748049e-16,0.0008712962962971194
4,mixed,0.99,5,0.029211914330530137,8.362171710479633e-15,0.5599910454140102,0.1617563564910322,0.17696786056230115,0.151418742742521,3.1991983934235746,1.7616561164385731,0.9259334799999992,1.0672009800936448e-15,0.0740665200000008
4,mixed,0.95,5,0.13144513574661004,1.113085098698247e-14,0.4837270107291937,0.15184007480094974,0.1865090759939897,0.07906233209709194,1.9606250219755332,1.0796289061365574,0.9261287037037033,1.7589240639276204e-15,0.07387129629629674
4,mixed,0.9,5,0.23110655737704627,5.487130587200389e-15,0.42574359318917265,0.1271561805082531,0.23367292601272638,0.005132737271356708,1.0436398862961254,0.5746860191079315,0.9268000000000012,1.8188692699780867e-15,0.07319999999999882
4,mixed,0.8,5,0.3616216216216262,2.547955794541194e-15,0.4033225440438672,0.0512113631652762,0.36162162162162514,1.784318724237749e-15,0.27639279634533365,0.15219720703231396,0.9298370370370354,8.556643779299519e-16,0.07016296296296465
4,mixed,0.6,5,0.46943396226415113,3.039457312948595e-15,0.46943396226415013,1.032865487270718e-15,0.46943396226415013,1.0397047461590564e-15,0.013485546033616578,0.00742588977991156,0.9434666666666681,1.797052957135242e-15,0.05653333333333188
4,mixed,0.35,5,0.497614268680446,3.215336987233326e-15,0.497614268680445,1.4261072965499198e-16,0.497614268680445,1.4261072965499198e-16,8.215486945395626e-05,4.523902880367465e-05,0.9714620370370388,1.4977727461875691e-15,0.028537962962961183
4,mixed,0.05,5,0.49999933581296724,5.0298126952671634e-15,0.4999993358129662,2.6321887126755213e-15,0.4999993358129662,2.6374515749745233e-15,6.3675304988863765e-12,3.5063155423668534e-12,0.9991287037037042,6.511626037759646e-16,0.0008712962962957871
