n,generator_scope,simulation_backend,eta,n_draws,tvd_to_lossless_mean,tvd_to_lossless_std,tvd_to_uniform_mean,tvd_to_uniform_std,tvd_to_product_marginals_mean,tvd_to_product_marginals_std,alpha_mean,alpha_std,herald_failure_prob_mean,herald_failure_prob_std,herald_success_rate_mean
2,weight1,polarization,0.99,5,0.00995,8.743419338566625e-17,0.5725799456558496,0.09684150075073909,0.009949999999999995,7.016093334065796e-17,2.892345075649415,0.6107778169670572,,,
2,weight1,polarization,0.95,5,0.048750000000000106,4.757065991401635e-17,0.5407468659170869,0.09531391814741044,0.0487500000000001,3.7751664318895324e-17,2.8923450756494145,0.610777816967057,,,
2,weight1,polarization,0.9,5,0.09500000000000006,4.8074067159589095e-17,0.5078470289029606,0.08899600351865372,0.09500000000000006,4.022165030534275e-17,2.8923450756494145,0.610777816967057,,,
2,weight1,polarization,0.8,5,0.18,3.7238012298709096e-17,0.4537309857998701,0.07031782994066471,0.18,3.284083995358298e-17,2.892345075649414,0.610777816967057,,,
2,weight1,polarization,0.6,5,0.31999999999999995,6.080941944488117e-17,0.3648652443596176,0.03924663347245288,0.3199999999999999,0.0,2.892345075649414,0.6107778169670572,,,
2,weight1,polarization,0.35,5,0.43875000000000003,6.568167990716596e-17,0.4387499999999999,5.551115123125783e-17,0.4387499999999999,6.568167990716596e-17,2.892345075649414,0.610777816967057,,,
2,weight1,polarization,0.05,5,0.49874999999999997,6.080941944488117e-17,0.49874999999999997,4.965068306494546e-17,0.49874999999999997,4.2998752849492583e-17,2.892345075649414,0.6107778169670567,,,
3,weight1,polarization,0.99,5,0.014850499999999984,3.939770506710496e-17,0.48995182888726585,0.13076270476906465,0.014850499999999966,4.9468522674393986e-17,2.599545780306973,0.8255640658489332,,,
3,weight1,polarization,0.95,5,0.07131250000000014,9.432813123914324e-17,0.4519526440770784,0.11860991546026574,0.07131250000000013,8.418682910850739e-17,2.599545780306973,0.825564065848933,,,
3,weight1,polarization,0.9,5,0.13550000000000004,9.852251986074894e-17,0.4108678252807077,0.10349055145181134,0.1355,7.130536482749599e-17,2.599545780306973,0.8255640658489334,,,
3,weight1,polarization,0.8,5,0.24400000000000005,9.121412916732177e-17,0.35862280347599135,0.08111017339401927,0.244,5.822058658345462e-17,2.599545780306973,0.8255640658489335,,,
3,weight1,polarization,0.6,5,0.3919999999999999,6.568167990716596e-17,0.3940367593282895,0.004073518656579255,0.3919999999999999,2.482534153247273e-17,2.5995457803069724,0.8255640658489335,,,
3,weight1,polarization,0.35,5,0.47856249999999995,7.850462293418876e-17,0.47856249999999995,5.551115123125783e-17,0.47856249999999995,4.965068306494546e-17,2.5995457803069724,0.8255640658489332,,,
3,weight1,polarization,0.05,5,0.49993750000000003,5.551115123125783e-17,0.4999375,0.0,0.4999375,3.510833468576701e-17,2.599545780306972,0.8255640658489328,,,
4,weight1,polarization,0.99,5,0.019701994999999833,1.123586702727401e-16,0.6865018317428697,0.07575350913987569,0.019701994999999844,1.55041972118466e-16,5.954770345337972,1.590306781552558,,,
4,weight1,polarization,0.95,5,0.0927468750000001,1.2734335527125288e-16,0.631142187055718,0.0711939855797428,0.09274687500000012,1.1410208772874278e-16,5.954770345337973,1.5903067815525578,,,
4,weight1,polarization,0.9,5,0.17195000000000005,6.568167990716596e-17,0.5748869144150209,0.06322915718790235,0.17195000000000008,3.0404709722440586e-17,5.954770345337973,1.5903067815525582,,,
4,weight1,polarization,0.8,5,0.2951999999999999,7.850462293418876e-17,0.49366849695250936,0.04647465852187193,0.29519999999999996,3.510833468576701e-17,5.954770345337973,1.5903067815525593,,,
4,weight1,polarization,0.6,5,0.43519999999999986,7.447602459741819e-17,0.44270905237853897,0.010069894876810571,0.4351999999999999,0.0,5.954770345337975,1.5903067815525593,,,
4,weight1,polarization,0.35,5,0.49249687499999995,8.95090418262362e-17,0.49249687499999995,5.551115123125783e-17,0.49249687499999995,4.2998752849492583e-17,5.954770345337974,1.5903067815525578,,,
4,weight1,polarization,0.05,5,0.499996875,8.599750569898517e-17,0.499996875,0.0,0.499996875,3.510833468576701e-17,5.954770345337974,1.590306781552558,,,
5,weight1,polarization,0.99,5,0.02450497504999996,1.6835935957504456e-16,0.6876424802069183,0.13333135503411359,0.02450497504999997,1.0849998518463944e-16,7.954365102613108,4.2032274338026285,,,
5,weight1,polarization,0.95,5,0.1131095312500002,9.057848289240456e-17,0.6206319563231196,0.12006251011409967,0.11310953125000023,1.3988369538646852e-16,7.9543651026131075,4.203227433802629,,,
5,weight1,polarization,0.9,5,0.20475500000000016,1.7772239894833365e-16,0.5568397223948394,0.10542905243997928,0.2047550000000001,1.342635627393543e-16,7.9543651026131075,4.203227433802627,,,
5,weight1,polarization,0.8,5,0.33615999999999996,9.614813431917819e-17,0.4840059106692099,0.06732893788788989,0.3361599999999999,9.288792252416251e-17,7.954365102613108,4.2032274338026285,,,
5,weight1,polarization,0.6,5,0.46111999999999986,1.3136335981433191e-16,0.4656402310407561,0.005806307736491485,0.46112000000000003,8.233634315563857e-17,7.9543651026131075,4.2032274338026285,,,
5,weight1,polarization,0.35,5,0.49737390625,1.0235750533041807e-16,0.49737390625,0.0,0.49737390625,3.510833468576701e-17,7.954365102613108,4.2032274338026285,,,
5,weight1,polarization,0.05,5,0.49999984375000006,1.137640067256873e-16,0.49999984375000006,5.551115123125783e-17,0.49999984374999995,5.551115123125783e-17,7.9543651026131075,4.203227433802628,,,
6,weight1,polarization,0.99,5,0.029259925299500056,5.150463821007161e-16,0.7987530334843391,0.04695672103199917,0.02925992529950004,5.64584670594828e-16,18.28187306261524,5.612097175428732,,,
6,weight1,polarization,0.95,5,0.13245405468750007,2.351865387363856e-16,0.7082455211880426,0.04498512997341797,0.13245405468750007,1.7858723324765583e-16,18.281873062615233,5.612097175428727,,,
6,weight1,polarization,0.9,5,0.23427949999999997,1.0235750533041807e-16,0.6228033785529797,0.038420152558599194,0.23427949999999997,1.2899625854847775e-16,18.28187306261524,5.6120971754287305,,,
6,weight1,polarization,0.8,5,0.36892800000000003,1.4261072965499198e-16,0.5278511543093141,0.02839710802219236,0.36892800000000003,6.568167990716596e-17,18.281873062615237,5.612097175428732,,,
6,weight1,polarization,0.6,5,0.47667199999999993,1.2899625854847775e-16,0.48244608459823224,0.003202216411712109,0.47667200000000004,7.850462293418876e-17,18.281873062615237,5.61209717542873,,,
6,weight1,polarization,0.35,5,0.49908086718750005,8.95090418262362e-17,0.49908086718749994,5.551115123125783e-17,0.49908086718750005,5.551115123125783e-17,18.281873062615233,5.612097175428729,,,
6,weight1,polarization,0.05,5,0.49999999218750013,1.0532500405730103e-16,0.49999999218750013,8.95090418262362e-17,0.49999999218750013,9.930136612989092e-17,18.281873549799634,5.612097559271895,,,
