generator_scope,init_scheme,sigma,bin_spacing,n_min,n_max,verdict,exp_r2,exp_aic,exp_b,poly_r2,poly_aic,survival_vs_baseline
weight1,small_angle,0.03,1.2;0.4;0.4;0.171429;0.171429,2,6,inconclusive,0.13917273450018208,-49.84946178926033,12.94763619274787,0.021126928330130634,-49.206921191194134,n/a (no exp verdict in original small_angle baseline)
weight1,small_angle,0.1,1.2;0.4;0.4;0.171429;0.171429,2,6,inconclusive,0.5427580343572648,-47.11223406093339,6.971522822202557e-05,0.40446140645554685,-45.79096666465364,n/a (no exp verdict in original small_angle baseline)
weight1,small_angle,0.3,1.2;0.4;0.4;0.171429;0.171429,2,6,exp,0.903619020920223,-50.15324460428077,8.577233117595853e-05,0.8232951847165243,-47.12238580209687,n/a (no exp verdict in original small_angle baseline)
weight1,small_angle,1.0,1.2;0.4;0.4;0.171429;0.171429,2,6,inconclusive,0.9925925431244939,-73.45888998641861,0.6269856798428738,0.9924011990894659,-73.33137358041834,n/a (no exp verdict in original small_angle baseline)
weight1,small_angle,3.0,1.2;0.4;0.4;0.171429;0.171429,2,6,inconclusive,0.9966267284364391,-115.13260935960511,0.680807706252246,0.9954911260611224,-113.6817874718326,n/a (no exp verdict in original small_angle baseline)
weight1,small_angle,9.0,1.2;0.4;0.4;0.171429;0.171429,2,6,inconclusive,0.9969054573798811,-158.78361315203438,0.6833808270493924,0.9956261271087421,-157.05356941803603,n/a (no exp verdict in original small_angle baseline)
weight1,uniform,0.03,1.2;0.4;0.4;0.171429;0.171429,2,6,exp,0.9991080683260413,-52.3976041928005,0.386465122258149,0.9977335807744161,-47.734769690759066,survives
weight1,uniform,0.1,1.2;0.4;0.4;0.171429;0.171429,2,6,exp,0.9992959407236801,-53.42961446991714,0.36492418117271974,0.998124256882301,-48.5301262829436,survives
weight1,uniform,0.3,1.2;0.4;0.4;0.171429;0.171429,2,6,inconclusive,0.9876637522253271,-39.861684390424145,0.48024179546879125,0.9886737878215484,-40.288795394667794,disappears
weight1,uniform,1.0,1.2;0.4;0.4;0.171429;0.171429,2,6,inconclusive,0.9960392671839864,-55.110011456323775,0.6557100309325371,0.9953283430955946,-54.28458773843638,disappears
weight1,uniform,3.0,1.2;0.4;0.4;0.171429;0.171429,2,6,exp,0.9986527734023068,-95.77647646200288,0.7533321066049187,0.9973072373922394,-92.31387870651884,survives
weight1,uniform,9.0,1.2;0.4;0.4;0.171429;0.171429,2,6,exp,0.9988203314889698,-139.28466948490063,0.768028528627045,0.997425690438647,-135.38293003243575,survives
mixed,small_angle,0.03,1.2;0.4;0.4;0.171429,2,5,inconclusive,0.2128731438684982,-43.14060899243691,12.995656167847129,0.21287342147061428,-43.140610403148095,n/a (no exp verdict in original small_angle baseline)
mixed,small_angle,0.1,1.2;0.4;0.4;0.171429,2,5,inconclusive,0.0,-41.756349482885746,32.08760730726205,-1.1888934281500951e-11,-41.75634948283819,n/a (no exp verdict in original small_angle baseline)
mixed,small_angle,0.3,1.2;0.4;0.4;0.171429,2,5,exp,0.9199444591662522,-50.68265818138932,9.4712036997365e-05,0.8371213426070068,-47.84151883659521,n/a (no exp verdict in original small_angle baseline)
mixed,small_angle,1.0,1.2;0.4;0.4;0.171429,2,5,inconclusive,0.0722858856226476,-50.68960148828265,6.935975755839951e-05,0.019895354120117448,-50.469858574067935,n/a (no exp verdict in original small_angle baseline)
mixed,small_angle,3.0,1.2;0.4;0.4;0.171429,2,5,inconclusive,0.33696280574351045,-76.61537200739683,13.095499923061798,0.3369630390627979,-76.61537341497595,n/a (no exp verdict in original small_angle baseline)
mixed,small_angle,9.0,1.2;0.4;0.4;0.171429,2,5,inconclusive,0.32828118228111447,-110.56234342215672,13.102138265463916,0.32828139408658275,-110.5623446834315,n/a (no exp verdict in original small_angle baseline)
mixed,uniform,0.03,1.2;0.4;0.4;0.171429,2,5,exp,0.9113665102786326,-37.72544660094525,9.145950182157807e-05,0.8250726448258386,-35.00600259921651,survives
mixed,uniform,0.1,1.2;0.4;0.4;0.171429,2,5,exp,0.9100002896825804,-37.56160136497932,7.997954612573329e-05,0.8226637362868008,-34.84863627055633,survives
mixed,uniform,0.3,1.2;0.4;0.4;0.171429,2,5,inconclusive,0.5983847598443847,-32.210012795935555,7.031193982448908e-05,0.470177648552634,-31.101823803302416,disappears
mixed,uniform,1.0,1.2;0.4;0.4;0.171429,2,5,inconclusive,9.992007221626409e-16,-29.512925568986745,17.40450649003137,0.301698277345989,-30.949341577817883,disappears
mixed,uniform,3.0,1.2;0.4;0.4;0.171429,2,5,inconclusive,0.3304132515931938,-58.705310934746535,13.096163643662825,0.330413545946563,-58.705312693165055,disappears
mixed,uniform,9.0,1.2;0.4;0.4;0.171429,2,5,inconclusive,0.3251024915887486,-92.95722563365594,13.105772101037006,0.3251027248476801,-92.95722701614125,disappears
