n,generator_scope,init_scheme,n_tracked_params,n_samples,mean,var,std,median,abs_mean,rms,sigma,bin_spacing
2,mixed,small_angle,2,200,-0.0073057767953655815,0.012627149169948235,0.11237058854499354,-0.016217983433829235,0.09838899350675864,0.1126078307425018,0.03,1.2000000000000002
3,mixed,small_angle,3,300,0.01086898413403706,0.018687609214418255,0.13670263060533347,0.012536337071585694,0.11972746922935215,0.13713403673240354,0.03,0.4000000000000001
4,mixed,small_angle,3,300,-3.0883874405152054e-05,0.013066927902466356,0.11431066399276296,-0.00488460082144413,0.09771762996056203,0.11431066816478702,0.03,0.4000000000000001
2,mixed,uniform,2,200,0.007328514684231318,0.04849489434334633,0.2202155633540607,0.0021827044420037623,0.16074043518543438,0.22033747178095542,0.03,1.2000000000000002
3,mixed,uniform,3,300,0.00012515059544166245,0.04732454413549267,0.21754205141878355,-0.009945474376423905,0.16331124470747407,0.21754208741796197,0.03,0.4000000000000001
4,mixed,uniform,3,300,-0.004823754656535853,0.03007781794215368,0.1734295763189015,-0.0006844701250852375,0.13711508563235417,0.17349664708904358,0.03,0.4000000000000001
5,mixed,small_angle,3,300,0.005414381859773209,0.013871056667700565,0.11777545019103329,0.007235316549907722,0.10176939783529114,0.11789983968871205,0.03,0.17142857142857146
5,mixed,uniform,3,300,-0.013974616386806119,0.013808447228769035,0.11750934953768162,-0.01185041961110897,0.09336808210057365,0.11833738687298882,0.03,0.17142857142857146
2,mixed,small_angle,2,200,-0.0073057767953655815,0.012627149169948235,0.11237058854499354,-0.016217983433829235,0.09838899350675864,0.1126078307425018,0.1,1.2000000000000002
3,mixed,small_angle,3,300,0.010866428335242217,0.018681169927618056,0.13667907640753962,0.012533451997695618,0.11970797979200988,0.1371103540670179,0.1,0.4000000000000001
4,mixed,small_angle,3,300,-3.153711525578418e-05,0.01306328263335783,0.11429471830910574,-0.004883408069338454,0.09770390579620326,0.11429472266009252,0.1,0.4000000000000001
2,mixed,uniform,2,200,0.007328514684231318,0.04849489434334633,0.2202155633540607,0.0021827044420037623,0.16074043518543438,0.22033747178095542,0.1,1.2000000000000002
3,mixed,uniform,3,300,0.00011993412550286668,0.04732385669216265,0.21754047138903293,-0.009943440245422791,0.16331741659449941,0.21754050444999226,0.1,0.4000000000000001
4,mixed,uniform,3,300,-0.004820237104052758,0.030089269472454584,0.17346258810606563,-0.0006903289357089073,0.13713871408710843,0.17352954837201034,0.1,0.4000000000000001
5,mixed,small_angle,3,300,0.00575719973030997,0.012686650146788818,0.11263503072662971,0.007226421268051585,0.09603290602999136,0.11278207080703696,0.1,0.17142857142857146
5,mixed,uniform,3,300,-0.014416302757817856,0.013312939107355872,0.11538171045428244,-0.010167705645528656,0.08800585979841083,0.11627884112150816,0.1,0.17142857142857146
2,mixed,small_angle,2,200,-0.007300875987357166,0.012610213947458381,0.11229520892477284,-0.016207104204238855,0.09832299291834432,0.11253229197719715,0.3,1.2000000000000002
3,mixed,small_angle,3,300,0.007423974221384517,0.011359303805576941,0.10658003474186402,0.009602102425324792,0.0934630474202091,0.10683828526711164,0.3,0.4000000000000001
4,mixed,small_angle,3,300,-0.0007209488706516808,0.009333947359731368,0.09661235614418773,-0.003383715614644199,0.08078915825391307,0.09661504606946818,0.3,0.4000000000000001
2,mixed,uniform,2,200,0.007323598623357812,0.0484298541815273,0.22006783995288204,0.00218124025609869,0.1606326084567923,0.22018966660205322,0.3,1.2000000000000002
3,mixed,uniform,3,300,-0.0065967893905955755,0.053024615441944416,0.2302707437820628,-0.005048148400678442,0.16939338770210946,0.23036521671512888,0.3,0.4000000000000001
4,mixed,uniform,3,300,0.0011456277207899516,0.04798040816793551,0.21904430640383124,-0.0017464869143885794,0.15843820813444626,0.21904730226782104,0.3,0.4000000000000001
5,mixed,small_angle,3,300,0.003542409150275101,0.004822935310158305,0.06944735639430996,0.0026665679703840144,0.051989536417451784,0.06953764428528089,0.3,0.17142857142857146
5,mixed,uniform,3,300,-0.012481077359980249,0.019440803500398847,0.13943028186301154,-0.0023094645860802098,0.07835675959250255,0.1399877880119,0.3,0.17142857142857146
2,mixed,small_angle,2,200,-0.0019245114435549825,0.0008762206973370535,0.02960102527509906,-0.004272193852074517,0.025917948115213262,0.029663520385035683,1.0,1.2000000000000002
3,mixed,small_angle,3,300,6.525070513093738e-05,0.002772126603363434,0.05265098862664816,0.000303669735657737,0.028711043198757242,0.05265102905943961,1.0,0.4000000000000001
4,mixed,small_angle,3,300,5.7947822228056704e-05,0.0017415561727472165,0.04173195625353809,-0.00031148384031783955,0.028965277504593,0.041731996485877804,1.0,0.4000000000000001
2,mixed,uniform,2,200,0.0019305011320645154,0.003365148345593502,0.05800989868628889,0.0005749750908348604,0.04234276732251264,0.05804201219990916,1.0,1.2000000000000002
3,mixed,uniform,3,300,-0.010432793844423334,0.0329052304177358,0.18139798901238072,-8.054820843896661e-05,0.10014145207948937,0.18169775343998074,1.0,0.4000000000000001
4,mixed,uniform,3,300,0.003785602811478039,0.017025579149240886,0.13048210279283856,0.00015484896798028812,0.08536533087866145,0.13053700600935797,1.0,0.4000000000000001
5,mixed,small_angle,3,300,0.00029585523015768586,0.0005234533324331662,0.022879102526829283,0.00013549890404988222,0.012130613689454811,0.022881015334778692,1.0,0.17142857142857146
5,mixed,uniform,3,300,-0.0011376355067930742,0.0050934159281180195,0.07136817167419955,-2.399120805851233e-05,0.0350115810595748,0.07137723826728193,1.0,0.17142857142857146
2,mixed,small_angle,2,200,-4.3185149401552735e-05,4.412059540748695e-07,0.0006642333581467206,-9.586606013286758e-05,0.0005815868049449833,0.0006656357195972163,3.0,1.2000000000000002
3,mixed,small_angle,3,300,-2.9092093311151403e-05,0.00010394841176429967,0.010195509392095113,2.0241364735500385e-06,0.005255470330436044,0.01019555089802375,3.0,0.4000000000000001
4,mixed,small_angle,3,300,1.6742573266807515e-05,4.6807619145638656e-05,0.006841609397330329,-4.516211422755519e-06,0.004560442956274882,0.0068416298832513775,3.0,0.4000000000000001
2,mixed,uniform,2,200,4.331955524986392e-05,1.6944629257598135e-06,0.0013017153781682896,1.2902175917441443e-05,0.0009501521744761138,0.0013024359906063942,3.0,1.2000000000000002
