n,generator_scope,init_scheme,n_tracked_params,n_samples,mean,var,std,median,abs_mean,rms
2,weight1,small_angle,2,200,-0.0026474603300448507,0.0035450316945932416,0.05954016874844446,-0.00561955850571394,0.05175907784025185,0.05959899949489423
3,weight1,small_angle,3,300,0.0027501989963153997,0.004065478419532337,0.06376110428413499,0.004267983138561249,0.05575972099710877,0.06382038870182216
4,weight1,small_angle,4,400,0.001066765264768037,0.003360815344540548,0.05797253957297841,-0.0007958487549331039,0.04968319171421172,0.057982353631692664
5,weight1,small_angle,5,500,-0.0009223080709562055,0.003126766943127132,0.055917501223920335,-0.0015750234015285969,0.048149595464441516,0.055925107020951534
6,weight1,small_angle,6,600,-0.00023342867407942928,0.0030786082146887317,0.05548520716991811,-0.00023341157611866947,0.04812519626912035,0.055485698190025634
7,weight1,small_angle,7,700,0.000974378808867706,0.002371395222128895,0.04869697343910497,-0.00022954086580284638,0.03975440927553271,0.04870672064707359
8,weight1,small_angle,8,800,0.0016915730864639044,0.002126193016134002,0.04611066054757838,0.002910817041993141,0.03762973607434105,0.04614167785896879
2,weight1,uniform,2,200,-0.002589361689751968,0.0728633226528696,0.26993207044156425,0.007314260699786246,0.23731475780368783,0.2699444895655956
3,weight1,uniform,3,300,0.0042148055892903356,0.0545293716263659,0.23351524923731617,0.015725435689091682,0.19738290979643353,0.23355328345480694
4,weight1,uniform,4,400,-0.01464803414477501,0.030022781217741334,0.1732708319877911,-0.022205318324267864,0.14204723182308954,0.17388889016279283
5,weight1,uniform,5,500,-0.00030837289278861133,0.015854722728877294,0.1259155380756374,0.002945352578535676,0.09987625939503778,0.12591591568470722
6,weight1,uniform,6,600,0.0017133269133046268,0.009671834004210737,0.09834548288666205,0.003047290490940213,0.07695700831109813,0.0983604061262589
7,weight1,uniform,7,700,0.0020167435277835466,0.00711513291689297,0.08435124727526541,-9.950847015716136e-06,0.06386242037493503,0.08437535286652037
8,weight1,uniform,8,800,-0.0029267933917435586,0.006737053833000202,0.08207955794837227,-0.0007844174397177994,0.05990475779814006,0.08213172318025572
